age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
59,admin,married,secondary,false,2343,true,false,unknown,5,may,1042,1,true
56,admin,married,secondary,false,45,false,false,unknown,5,may,1467,1,true
41,technician,married,secondary,false,1270,true,false,unknown,5,may,1389,1,true
55,services,married,secondary,false,2476,true,false,unknown,5,may,579,1,true
54,admin,married,tertiary,false,184,false,false,unknown,5,may,673,2,true
42,management,single,tertiary,false,0,true,true,unknown,5,may,562,2,true
56,management,married,tertiary,false,830,true,true,unknown,6,may,1201,1,true
60,retired,divorced,secondary,false,545,true,false,unknown,6,may,1030,1,true
39,technician,single,unknown,false,45248,true,false,unknown,6,may,1623,1,true
37,technician,married,secondary,false,1,true,false,unknown,6,may,608,1,true
34,admin,married,secondary,false,869,false,false,unknown,6,may,1677,1,true
55,unemployed,divorced,secondary,false,387,true,false,unknown,6,may,918,1,true
28,services,single,secondary,false,5090,true,false,unknown,6,may,1297,3,true
30,technician,married,secondary,false,484,true,false,unknown,6,may,703,1,true
36,technician,married,secondary,false,368,true,true,unknown,6,may,1597,2,true
37,admin,single,secondary,false,245,true,true,unknown,7,may,732,2,true
45,blue-collar,married,secondary,false,154,true,false,unknown,7,may,1138,1,true
53,services,divorced,primary,false,-291,true,true,unknown,7,may,591,1,true
38,admin,single,secondary,false,100,true,false,unknown,7,may,786,1,true
30,blue-collar,married,secondary,false,309,true,false,unknown,7,may,1574,2,true
29,management,married,tertiary,false,199,true,true,unknown,7,may,1689,4,true
46,blue-collar,single,tertiary,false,460,true,false,unknown,7,may,1102,2,true
31,technician,single,tertiary,false,703,true,false,unknown,8,may,943,2,true
39,blue-collar,married,primary,false,70,false,false,unknown,8,may,813,1,true
35,management,divorced,tertiary,false,3837,true,false,unknown,8,may,1084,1,true
32,blue-collar,single,primary,false,611,true,false,unknown,8,may,541,3,true
49,services,married,secondary,false,-8,true,false,unknown,8,may,1119,1,true
41,admin,married,secondary,false,55,true,false,unknown,8,may,1120,2,true
49,admin,divorced,secondary,false,168,true,true,unknown,8,may,513,1,true
28,admin,divorced,secondary,false,785,true,false,unknown,8,may,442,2,true
43,management,single,tertiary,false,2067,true,false,unknown,8,may,756,1,true
43,management,divorced,tertiary,false,388,true,false,unknown,8,may,2087,2,true
43,blue-collar,married,primary,false,-192,true,false,unknown,8,may,1120,2,true
37,unemployed,single,secondary,false,381,true,false,unknown,8,may,985,2,true
35,blue-collar,single,secondary,false,40,true,false,unknown,9,may,617,4,true
31,technician,single,tertiary,false,22,true,false,unknown,9,may,483,3,true
46,technician,married,secondary,false,332,true,false,unknown,9,may,772,1,true
43,blue-collar,single,secondary,false,3,true,false,unknown,9,may,929,3,true
31,admin,married,secondary,false,307,true,false,unknown,9,may,538,1,true
28,blue-collar,single,secondary,false,759,true,false,unknown,9,may,710,1,true
32,blue-collar,married,secondary,true,-1,true,false,unknown,9,may,653,1,true
60,technician,married,primary,false,65,true,false,unknown,9,may,1028,2,true
26,blue-collar,single,secondary,false,82,true,false,unknown,9,may,654,1,true
40,blue-collar,married,secondary,false,10,true,false,unknown,9,may,1692,2,true
28,blue-collar,single,secondary,false,-197,true,false,unknown,9,may,2016,2,true
33,blue-collar,divorced,primary,false,390,true,false,unknown,9,may,665,2,true
45,blue-collar,married,primary,false,101,true,false,unknown,12,may,460,5,true
32,management,single,tertiary,false,311,false,false,unknown,12,may,757,2,true
35,blue-collar,married,primary,false,414,false,false,unknown,13,may,504,4,true
33,management,divorced,secondary,false,5,true,false,unknown,13,may,1346,1,true
38,management,married,tertiary,false,119,true,false,unknown,13,may,568,4,true
24,services,single,secondary,true,-122,true,false,unknown,13,may,1000,1,true
54,retired,divorced,tertiary,false,0,false,false,unknown,13,may,618,1,true
34,blue-collar,divorced,secondary,false,383,true,false,unknown,13,may,2231,1,true
23,entrepreneur,single,primary,false,4,true,false,unknown,13,may,395,2,true
60,blue-collar,married,primary,false,1262,true,true,unknown,13,may,1015,1,true
48,management,married,tertiary,false,1949,true,false,unknown,13,may,683,2,true
45,entrepreneur,divorced,tertiary,false,-395,true,false,unknown,13,may,470,1,true
36,blue-collar,married,secondary,false,1165,true,false,unknown,13,may,1001,4,true
52,management,married,unknown,false,2240,true,false,unknown,13,may,845,1,true
37,entrepreneur,divorced,secondary,false,175,true,true,unknown,13,may,753,6,true
46,blue-collar,married,primary,false,369,true,false,unknown,13,may,916,2,true
35,blue-collar,divorced,primary,false,300,true,false,unknown,13,may,945,2,true
43,technician,married,secondary,false,3285,true,false,unknown,13,may,1721,2,true
52,housemaid,married,secondary,false,3923,true,false,unknown,14,may,942,3,true
53,technician,divorced,primary,false,1443,true,false,unknown,14,may,476,1,true
48,blue-collar,divorced,primary,false,24,true,false,unknown,14,may,832,1,true
41,blue-collar,single,primary,false,1618,true,false,unknown,14,may,1553,1,true
